S No,Symptoms
7723,local wound infection
7724,"local wound infection, s"
7725,Localised burning sensation 
7726,localised chest pain
7727,localised edema of the skin (irritant dermatitis)
7728,localised infection
7729,Localised oedema
7730,Localised pain
7731,Localised relative loss in the field of vision
7732,localized  or diffuse hair depigmentation
7733,Localized circumscribed and asymmetrical  hyperhidrosis
7734,Localized cutaneous amyloidoses
7735,Localized cutaneous amyloidosis
7736,"localized gray opacities in different patterns: whorl-like, radial, band-shaped, flame/feathery shaped, and club shaped."
7737,Localized lipoatrophy and/or lipodystrophy
7738,Localized lipoatrophy due to injected corticosteroid
7739,localized lipodystrophy
7740,localized pain
7741,localized swelling
7742,LOCALIZED TENDERNESS
7743,localized urticaria
7744,"localized, thickened plaques, most commonly affecting the outer labia majora"
7745,"Locally aggressive lesions can ulcerate, fungate or leave pigmented scars. Lymph nodes, mucosae and viscera may be involved as the disease progresses"
7746,"Locations more commonly involved are the face and scalp, the  dorsal area of the distal extremities and the  buttocks."
7747,Lochial discharge becomes  offensive and copious
7748,locking of the knee
7749,lockjaw
7750,Loeffler syndrome
7751,Löffler Syndrome
7752,Loiasis
7753,Loiasis dermatology
7754,loint pain
7755,long axes of the lesions characteristically follow the  lines of cleavage parallel to the ribs in a Christmas tree pattern on  the upper chest and back.
7756,long narrow face
7757,long philtrum
7758,Long QT syndrome
7759,long Q-T syndrome
7760,Longitudinal  hyperpigmented streaks on the fingernails
7761,longitudinal groove in the nail plate
7762,longitudinal melanonycha
7763,longitudinal melanonychia
7764,"Longitudinal ridging,"
7765,longitudinally ridged on nails
7766,loose motion
7767,Loose skin
7768,Loricrin keratoderma
7769,loss of appetite
7770,loss of blinking
7771,loss of bone mineral density in men
7772,Loss of bowel or bladder control.
7773,loss of colour vision
7774,loss of consciousness
7775,LOSS OF CONSIOUSNESS
7776,loss of corneal reflex
7777,loss of deep tendon reflexes
7778,"loss of developmental milestones, hypotonia, seizures and failure to thrive in children"
7779,loss of elbow extension
7780,loss of empathy
7781,loss of energy
7782,loss of eyebrows
7783,"loss of eyebrows (initially the lateral margins only) and eyelashes, pendulous earlobes, and dry scaling skin, particularly on the feet"
7784,loss of eyelashes
7785,LOSS OF FEELING THAT BLADDER IS FULL
7786,loss of foveal contour
7787,loss of foveal depression
7788,Loss of hair
7789,loss of hair on skin
7790,loss of height
7791,LOSS OF IRIS PATTERN
7792,loss of judgement
7793,loss of judgement & reasoning
7794,Loss of judgment and reasoning
7795,loss of language
7796,Loss of lateral eyebrows (Hertoghe’s sign)
7797,loss of Libido
7798,loss of memory
7799,loss of moro reflex
7800,Loss of muscle tone
7801,loss of pain sensation
7802,loss of proprioception
7803,LOSS OF PULSATION
7804,loss of pulses
7805,loss of sensation f wrist
7806,loss of sensation in ear
7807,loss of sensation in elbow
7808,loss of sensation in eyes
7809,loss of sensation of thumb
7810,loss of sensation of toe
7811,loss of sensation on face
7812,loss of sensation on shin
7813,loss of sensation on skin
7814,loss of sensation on thigh
7815,loss of sensation on waist
7816,loss of sensations in lower limb
7817,loss of sensory and/or motor function  on one side of the body
7818,Loss of skin collagen
7819,loss of skin colour
7820,loss of smell
7821,Loss of smoothness of the corneal surface
7822,Loss of strength
7823,loss of taste
7824,loss of the Moro reflex
7825,Loss of transparency of cornea
7826,loss of vertebral contours
7827,Loss of vibratory sensation
7828,Loss of vision
7829,"Loss of vision, which usually progresses gradually over several weeks or months."
7830,Loss of visual acuity
7831,Loss of vocal pitch
7832,loss of wrinkles on forehead on affected side
7833,Loss of your gag reflex
7834,LOSS OR REDUCED PULSES
7835,loud p2
7836,loud pulmonary component of the second heart sound
7837,low birth weight
7838,low blood pressure
7839,low cardiac filling pressures
7840,LOW ECG VOLTAGE
7841,low gestational age
7842,low Glasgow Coma Scale
7843,LOW GRADE FEVER
7844,Low grade fibromyxoid sarcoma hyalinizing spindle 
7845,Low grade flare and cells
7846,low grade glandular intraepithelial neoplasia
7847,Low grade myofibroblastic sarcoma
7848,low hair line
7849,low hanging columella
7850,low intelligence quotient
7851,low muscle tone
7852,low oxygen saturation
7853,"LOW PITCHED,RUMBLING,DIASTOLIC MURMUR,BEST HEARD AT APEX WITH PT IN LEFT LATERAL POSITION"
7854,low plasma-cobalamin concentrations
7855,low posterior hairline
7856,low pulse volume
7857,Low self-esteem
7858,low set ears
7859,low set malformed ears
7860,low testicular volume
7861,Lowe syndrome
7862,lower body pain
7863,lower lid is pulled down
7864,lower limb pain
7865,LOWER RESPIRATORY TRACT INFECTIONS
7866,lowered haemoglobin
7867,lowered lymphocyte
7868,lowered platelet
7869,lowered white blood count
7870,Low-grade fi bromyxoid sarcoma
7871,low-pitched  and rough voice
7872,low-set hairline
7873,Lubricating agent
7874,ludwig's angina
7875,Lujo virus haemorrhagic fever
7876,Lumbar epidural
7877,Lumbar epidural block
7878,lumbar lordosis
7879,lumbar pain
7880,LUMBAR SPONDYLOSIS
7881,luminous phenomena
7882,lump
7883,lump in buttock
7884,lump in ear
7885,lump in elbow
7886,"Lump in the breast which is hard, painless (most common)"
7887,lump n waist
7888,lump on calf
7889,lump on face
7890,lump on forehead
7891,lump on skin
7892,lump on thigh
7893,Lump-irregular ill-defined; Peaud' orange
7894,LUNATE DISLOCATION
7895,LUNG ABSCESS
7896,Lung cancer
7897,lung cancer.
7898,lung crepitations
7899,lung damage
7900,Lung Fibrosis
7901,Lung infection
7902,lung toxicity
7903,lung transplantation
7904,lung volumes with a restrictive abnormality
7905,lupus  pernio
7906,lupus erythematosus
7907,Lupus Nephritis
7908,lupus panniculitis
7909,lupus profundus
7910,LUPUS VULGARIS
7911,Lupus vulgaris dermatology
7912,lupus-like syndrome
7913,lustreless hair
7914,lustureless hair
7915,LYME BORRELIOSIS
7916,Lyme disease
7917,Lyme disease dermatology
7918,lyme's disease
7919,LYMHOEDEMA
7920,lymph nodes may coalesce to form a ‘bubo’ or abscesses that may rupture spontaneously with the development of  fistulae or sinus tracts
7921,lymphadenitis
7922,lymphadenitis
7923,lymphadenitis
7924,lymphadenopathy
7925,Lymphadenopathy and splenomegaly
7926,lymphangiectasia
7927,Lymphangioleiomyomatosis
7928,Lymphangioma
7929,LYMPHANGIOMA AND LYMPHANGIOMATOSIS
7930,lymphangitis
7931,lymphangitis
7932,Lymphatic Filariasis
7933,Lymphatic filariasis dermatology
7934,Lymphatic malformation
7935,lymphedema
7936,lymphocele
7937,Lymphocytes decreased
7938,Lymphocytic Choriomeningitis
7939,Lymphocytic hypophysitis
7940,Lymphocytic Thyroiditis
7941,Lymphocytoma cutis
7942,"Lymphocytoma cutis secondary to Borrelia infection is most frequently  seen at sites with low skin temperature such as the earlobes, nipples, nose and scrotum"
7943,Lymphocytopenia
7944,Lymphocytosis
7945,Lymphoedema
7946,lymphoedema of extremities
7947,Lymphoedema–distichiasis syndrome
7948,lymphoepithelial carcinoma
7949,lymphoepithelioma like squamous cell carcinoma
7950,Lymphoepithelioma-like carcinoma
7951,Lymphogranuloma Venereum
7952,Lymphogranuloma venereum dermatology
7953,LYMPHOID HYPERPLASIA
7954,lymphoid hypoplasia
7955,lymphoid hypplasia
7956,lymphoma
7957,Lymphoma'
7958,lymphomas
7959,Lymphomatoid papulosis
7960,Lymphopenia
7961,Lymphosarcoma
7962,Lysinuric 4 intolerance (Hyperdibasic aminoaciduri
7963,Lysinuric 4 intolerance (Hyperdibasic aminoaciduri
7964,Lysinuric protein intolerance
7965,M BOVIS
7966,M CANETTI
7967,M LEPRAE
7968,M MICROTI
7969,M MUNGI
7970,M ORYGIS
7971,M PINNIPEDII
7972,maceration
7973,Macewen or â€˜crack-potâ€™ sign
7974,macrocephaly
7975,macrocheilia
7976,macroglossia
7977,macromastia
7978,macroscopic hematuria
7979,macrosomia
7980,MACULA CHERRY RED SPOT
7981,Macula shows marked pigmentary changes and chronic cystoid oedema.
7982,MACULAR ATROPHY
7983,Macular Corneal Dystrophy
7984,macular cyst
7985,macular drusens
7986,Macular edema
7987,macular erythema
7988,macular flecks
7989,macular hole
7990,macular hole may appear
7991,macular oedema
7992,macular pallor
7993,MACULAR RASH
7994,Macular syphilide (roseolar rash)
7995,"macular, papular or urticarial lesions, as well as the classic iris or ‘target lesions’"
7996,macules
7997,"Macules are  small, multiple, erythematous or faintly hypopigmented, with vague edges and shiny surface"
7998,Macules in cornea
7999,macules or papules with a rough scaly surface resulting from disorganized keratnization and a variation
8000,maculopapular eruption
8001,maculopapular eruptions usually present on palms and soles
8002,maculopapular rash
8003,maculopapules
8004,Mad cow disease
8005,madarosis
8006,MADURA FOOT
8007,Maffucci syndrome
8008,maggots crawl  out of the nose
8009,Magnesium deficiency
8010,MAILGNANT LYMPHOMA
8011,mailsae
8012,maintenance  anesthetic
8013,maintenance of remission of crohn's ileocolitis
8014,Majeed syndrome
8015,Majocchi granuloma
8016,Major depressive disorder
8017,Major haemorrhage
8018,major surgery
8019,Mal de Meleda
8020,MALABSORPTION
8021,malabsorption syndrome
8022,Malabsorption syndrome with steatorrhoea
8023,malaise
8024,Malakoplakia
8025,MALAR FLUSH
8026,malar flushing
8027,malar hypoplasia
8028,MALAR RASH
8029,Malaria
8030,malaria falciparum
8031,Malassezia
8032,Malassezia
8033,Malassezia folliculitis
8034,MALDIGESTION
8035,male impotence
8036,MALE INFERTILITY
8037,MALE PSEUDOHERMAPHRODITISM
8038,malena
8039,Male-pattern baldness
8040,Malformation
8041,malformations of the limb
8042,malformed ears
8043,MALIGNANCY
8044,Malignancy in giant cell tumour
8045,Malignant (Necrotizing) Otitis Externa
8046,Malignant atrophic papulosis
8047,Malignant Brenner tumour
8048,malignant canthosis nigricans
8049,malignant cutaneous neoplasms
8050,malignant diseases
8051,malignant effusions
8052,Malignant fibrous histiocytoma
8053,malignant glomus tumour
8054,Malignant histiocytosis
8055,Malignant hyperthermia
8056,Malignant Leydig cell tumour
8057,"Malignant lymphoma, NOS"
8058,Malignant melanoma
8059,Malignant melanoma of conjunctiva
8060,Malignant melanoma: Superficial spreading melanoma
8061,Malignant mesenchymoma
8062,MALIGNANT MESOTHELIOMA
8063,Malignant mixed tumour
8064,Malignant myoepithelioma
8065,Malignant neoplasms of the prostate
8066,malignant peripheral nerve sheath tumour
8067,malignant peripheral nerve sheath tumour (mpnst) (
8068,Malignant Sertoli cell tumour
8069,malignant thyroid tumour
8070,malignant tumor anus
8071,malignant tumors
8072,Malingering
8073,malleus fixation
8074,MALLORY WEISS AYNDROME
8075,MALLORY-WEISS TEAR
8076,malnourished
8077,Malnutrition
8078,Malnutrition
8079,MalOcclusion
8080,malodorous urine
8081,Malonyl-Coa decarboxylase deficiency
8082,MALPRESENTATION
8083,Malunion
8084,MALUNION OF FRACTURE
8085,Mammary hamartoma
8086,Mammary-type myofibroblastoma
8087,management of acutely decompensated heart failure
8088,Management of opioid-induced adverse effects
8089,MANDIBULAR RETRONAGTHIA
8090,mandibuloacral dysplasia
8091,Manganese deficiency
8092,MANGENESE
8093,MANGENESE DEFICIENCY
8094,MANGENESE TOXICITY
8095,mania
8096,mantle cell lymphoma
8097,Maple Syrup Urine Disease
8098,MARASMUS
8099,Marburg and Ebola haemorrhagic fevers
8100,MARCH FRACTURE
8101,Marcus Gunn pupil
8102,Marcus-Gunn Pupil
8103,Marfan syndrome
8104,Marfanoid features
8105,"margin is characteristically sharply defined, and the horny layer is often split to form an encircling collarette"
8106,MARGINAL CATARRHAL ULCER
8107,marginal corneal ulceration
8108,MARGINAL KERATOLYSIS
8109,Marginal papular keratoderma
8110,Marginal tear strip is reduced or absent
8111,marginal zone B cell lymphoma of MALT type
8112,Marjolin ulcer
8113,Marked arteriolar narrowing
8114,marked bradycardia
8115,marked corectopia
8116,Marked cupping of optic disc
8117,marked ECG changes
8118,marked epithelial oedema with formation of bullae in cornea
8119,marked hypertriglyceridaemia
8120,marked hypoxemia
8121,Marked narrowing of retinal arteries
8122,marked pallor
8123,marked proptosis
8124,Marked reduction of body temperature
8125,marked sudden visual loss
8126,Masculinisation of the external genitalia of the female fetus
8127,MASKED FACIES
8128,masks symptom of hypoglycemia
8129,mass
8130,mass in inguinal region
8131,mass in nasal cavity
8132,mass in nasopharynx
8133,mass in nostril
8134,mass in per rectal examination
8135,Mass in right hypochondrium
8136,mass in right upper abdomen  which is hard and nontender (gallbladder mass).
8137,mass in the abdomen
8138,mass in the inguinal region or scrotum
8139,Mass is firmly fixed to the cornea
8140,mass lesion
8141,mass of lymph nodes in the neck
8142,MASS PER RECTUM
8143,mass typically occurs in the upper portion of the labia majora
8144,"Massive engorgement, congestion and tortuousity of retinal veins"
8145,Massive retinal haemorrhages
8146,MASTITIS
8147,Mastocytosis
8148,MASTOID TENDERNESS
8149,MASTOIDITIS (LATENT)
8150,matallic taste
8151,Maternal death
8152,Maternal pulmonary oedema
8153,MATERNAL TRAUMA
8154,Maternal weight gain remains stationary or at times falling
